sex_group,survey_year,underweight_6_13,normal_6_13,overweight_not_obese_6_13,obese_6_13,overweight_obese_6_13
All children,2010,5.4,73.7,14.3,6.6,20.9
All children,2012,5,71.1,16.9,7,23.9
All children,2014,7.1,67.1,19.2,6.6,25.8
All children,2016,6.8,66.3,20.3,6.6,26.9
Boys,2010,6.5,73.4,13.5,6.5,20.1
Boys,2012,5.1,71.4,16.2,7.2,23.4
Boys,2014,6.8,67.3,18.6,7.3,25.9
Boys,2016,7.4,65.9,19.2,7.5,26.8
Girls,2010,4.2,74.1,15.1,6.6,21.7
Girls,2012,4.9,70.7,17.6,6.8,24.4
Girls,2014,7.5,66.9,19.8,5.8,25.6
Girls,2016,6.2,66.7,21.4,5.6,27
