category,value_5_17
Weeknight Less than 6 hours,2.1
Weeknight 6 to less than 7 hours,5.8
Weeknight 7 to less than 8 hours,22.2
Weeknight 8 to less than 9 hours,31.7
Weeknight 9 to less than 10 hours,29.8
Weeknight 10 hours or more,8.5
Weekend night Less than 6 hours,3.6
Weekend night 6 to less than 7 hours,8.3
Weekend night 7 to less than 8 hours,19.8
Weekend night 8 to less than 9 hours,29.9
Weekend night 9 to less than 10 hours,26.5
Weekend night 10 hours or more,12
Per night Less than 6 hours,2.1
Per night 6 to less than 7 hours,5.9
Per night 7 to less than 8 hours,22.6
Per night 8 to less than 9 hours,33.2
Per night 9 to less than 10 hours,28.9
Per night 10 hours or more,7.3
