category,section_heading,value_5_17
Less than 9 hours,Average daily inactivity,17.1
9 to less than 10 hours,Average daily inactivity,19.1
10 to less than 11 hours,Average daily inactivity,17.7
11 to less than 12 hours,Average daily inactivity,18.5
12 to less than 13 hours,Average daily inactivity,11.5
13 to less than 14 hours,Average daily inactivity,9.7
14 hours or more,Average daily inactivity,6.4
Total persons,Average daily inactivity,100
Average daily inactivity ,Average daily inactivity,0.454166666666667
Less than 2 hours,Average daily light physical activity,6.2
2 to less than 3 hours,Average daily light physical activity,22.6
3 to less than 4 hours,Average daily light physical activity,44.3
4 hours or more,Average daily light physical activity,26.9
Total persons,Average daily light physical activity,100
Average daily light physical activity ,Average daily light physical activity,0.144444444444444
Less than 30 minutes,Average daily moderate and vigorous physical activity,22.2
30 minutes to less than 1 hour,Average daily moderate and vigorous physical activity,30.2
1 to less than 1.5 hours,Average daily moderate and vigorous physical activity,24.9
1.5 to less than 2 hours,Average daily moderate and vigorous physical activity,14.4
2 hours or more,Average daily moderate and vigorous physical activity,8.3
Total persons,Average daily moderate and vigorous physical activity,100
Average daily moderate and vigorous physical activity ,Average daily moderate and vigorous physical activity,0.04375
Less than 30 minutes,Average daily moderate physical activity,25.7
30 minutes to less than 1 hour,Average daily moderate physical activity,34.1
1 to less than 1.5 hours,Average daily moderate physical activity,27.4
1.5 to less than 2 hours,Average daily moderate physical activity,10
2 hours or more,Average daily moderate physical activity,2.9
Total persons,Average daily moderate physical activity,100
Average daily moderate physical activity ,Average daily moderate physical activity,0.0375
0 minutes,Average daily vigorous physical activity,10.3
1–4 minutes,Average daily vigorous physical activity,30.5
5–9 minutes,Average daily vigorous physical activity,21.4
10 minutes or more,Average daily vigorous physical activity,37.7
Total persons,Average daily vigorous physical activity,100
Average daily vigorous physical activity ,Average daily vigorous physical activity,0.00625
